date,supplier,hotel,product,qty,oldSupplyPrice,newSupplyPrice,diff,tutedPrice,priceListDate,marginRate
2026-06-03,KUMLUCA HAL,SEAPHORİA,SALATALIK SİLOR PAKET,200,37.4,36.3,-1.1,165,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,CASAFORA,KABAK SAKIZ,50,24.2,19.8,-4.4,90,2026-06-03,0.22
2026-06-03,KUMLUCA HAL,MİRAMOR GARDEN,BİBER KAPYA,28,0,39.6,39.6,220,2026-06-03,0.18
2026-06-03,SÜLEYMAN ASKEROĞLU,GRAND MİRAMOR,MUZ YERLİ,200,0,51.84,51.84,288,2026-06-03,0.18
2026-06-03,SÜLEYMAN ASKEROĞLU,GRAND MİRAMOR,ÇİLEK,3,0,72,72,400,2026-06-03,0.18
2026-06-10,METİN DALKIRAN,SEAPHORİA,KARPUZ,1,27500,27.5,-27472.5,125,2026-06-10,0.22
2026-06-10,METİN DALKIRAN,CASAFORA,KARPUZ,1,27500,27.5,-27472.5,125,2026-06-10,0.22
2026-06-12,ANTALYA HAL,MİRAMOR GARDEN,KAYISI,100,57.6,55.8,-1.8,310,2026-06-12,0.18
2026-06-12,ANTALYA HAL,AMBASSADOR,KAYISI,204,57.6,55.8,-1.8,310,2026-06-12,0.18
2026-06-12,METİN DALKIRAN,AMBASSADOR,KARPUZ,1.18,22500,22.5,-22477.5,125,2026-06-12,0.18
2026-06-12,MSD07 TAR ÜR,CASAFORA,DOMATES BEEF,160,36.3,34.1,-2.2,155,2026-06-12,0.22
2026-06-12,MSD07 TAR ÜR,CASAFORA,DOMATES,280,35.2,33,-2.2,150,2026-06-12,0.22
2026-06-15,MSD07 TAR ÜR,CASAFORA,LAHANA,22,26.4,37.4,11,170,2026-06-15,0.22
2026-06-15,METİN DALKIRAN,CASAFORA,KARPUZ,1.7,28600,27.5,-28572.5,125,2026-06-15,0.22
2026-06-15,METİN DALKIRAN,SEAPHORİA,KARPUZ,550,28.6,27.5,-1.1,125,2026-06-15,0.22
2026-06-17,ANTALYA HAL,AMBASSADOR,KAVUN,1.3,32400,32.4,-32367.6,180,2026-06-17,0.18
2026-06-17,METİN DALKIRAN,MİRAMOR GARDEN,KARPUZ,2.03,22500,22.5,-22477.5,125,2026-06-17,0.18
2026-06-20,METİN DALKIRAN,CASAFORA,KARPUZ,2.03,27500,27.5,-27472.5,125,2026-06-20,0.22
2026-06-20,MSD07 TAR ÜR,CASAFORA,LAHANA,108,24.2,35.2,11,160,2026-06-20,0.22
2026-06-20,MSD07 TAR ÜR,SEAPHORİA,LAHANA,55,24.2,35.2,11,160,2026-06-20,0.22
2026-06-22,METİN DALKIRAN,CASAFORA,KARPUZ,1,27500,27.5,-27472.5,125,2026-06-22,0.22
2026-06-24,MSD07 TAR ÜR,SEAPHORİA,MARUL KIVIRCIK,35,16.5,30.8,14.3,140,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,SEAPHORİA,MAYDONOZ,120,17.6,16.5,-1.1,75,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,SEAPHORİA,DEREOTU,80,17.6,18.7,1.1,85,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,SEAPHORİA,FESLEĞEN,20,18.7,17.6,-1.1,80,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,SEAPHORİA,LİMON,57,79.2,83.6,4.4,380,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,CASAFORA,MAYDONOZ,120,17.6,16.5,-1.1,75,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,CASAFORA,DEREOTU,80,17.6,18.7,1.1,85,2026-06-24,0.22
2026-06-24,MSD07 TAR ÜR,CASAFORA,LAHANA,58,24.2,18.7,-5.5,85,2026-06-24,0.22
2026-06-27,MSD07 TAR ÜR,CASAFORA,KABAK BAL DEKORLUK,34,80,52.8,-27.2,240,2026-06-27,0.22
